Date,Deposit rate
8/31/2016,0.26
9/1/2016,0.26
9/2/2016,0.26
9/5/2016,0.26
9/6/2016,0.2
9/7/2016,0.28
9/8/2016,0.28
9/9/2016,0.2
9/12/2016,0.2
9/13/2016,0.32
9/14/2016,0.32
9/15/2016,0.32
9/16/2016,0.32
9/19/2016,0.33
9/20/2016,0.33
9/21/2016,0.38
9/22/2016,0.38
9/23/2016,0.38
9/26/2016,0.33
9/27/2016,0.2
9/28/2016,0.2
9/29/2016,0.2
9/30/2016,0.4
10/3/2016,0.38
10/4/2016,0.38
10/5/2016,0.38
10/6/2016,0.38
10/7/2016,0.38
10/10/2016,0.38
10/11/2016,0.39
10/12/2016,0.39
10/13/2016,0.34
10/14/2016,0.33
10/17/2016,0.34
10/18/2016,0.33
10/19/2016,0.33
10/20/2016,0.33
10/21/2016,0.33
10/24/2016,0.3
10/25/2016,0.3
10/26/2016,0.28
10/27/2016,0.28
10/28/2016,0.28
10/31/2016,0.28
11/1/2016,0.28
11/2/2016,0.28
11/3/2016,0.28
11/4/2016,0.28
11/7/2016,0.28
11/8/2016,0.3
11/9/2016,0.28
11/10/2016,0.28
11/11/2016,0.28
11/14/2016,0.28
11/15/2016,0.28
11/16/2016,0.28
11/17/2016,0.28
11/18/2016,0.28
11/21/2016,0.28
11/22/2016,0.31
11/23/2016,0.31
11/24/2016,0.31
11/25/2016,0.29
11/28/2016,0.3
11/29/2016,0.3
11/30/2016,0.3
12/1/2016,0.3
12/2/2016,0.3
12/5/2016,0.3
12/6/2016,0.3
12/7/2016,0.3
12/8/2016,0.32
12/9/2016,0.33
12/12/2016,0.33
12/13/2016,0.33
12/14/2016,0.33
12/15/2016,0.33
12/16/2016,0.35
12/19/2016,0.36
12/20/2016,0.36
12/21/2016,0.37
12/22/2016,0.46
12/23/2016,0.48
12/26/2016,0.23
12/27/2016,0.48
12/28/2016,0.5
12/29/2016,0.5
12/30/2016,0.5
1/2/2017,0.3
1/3/2017,0.25
1/4/2017,0.25
1/5/2017,0.25
1/6/2017,0.23
1/9/2017,0.23
1/10/2017,0.25
1/11/2017,0.25
1/12/2017,0.25
1/13/2017,0.24
1/16/2017,0.25
1/17/2017,0.25
1/18/2017,0.25
1/19/2017,0.25
1/20/2017,0.25
1/23/2017,0.25
1/24/2017,0.25
1/25/2017,0.25
1/26/2017,0.25
1/27/2017,0.26
1/30/2017,0.27
1/31/2017,0.25
2/1/2017,0.25
2/2/2017,0.25
2/3/2017,0.27
2/6/2017,0.26
2/7/2017,0.26
2/8/2017,0.25
2/9/2017,0.25
2/10/2017,0.26
2/13/2017,0.27
2/14/2017,0.27
2/15/2017,0.27
2/16/2017,0.27
2/17/2017,0.23
2/20/2017,0.26
2/21/2017,0.27
2/22/2017,0.26
2/23/2017,0.26
2/24/2017,0.26
2/27/2017,0.26
2/28/2017,0.26
3/1/2017,0.2
3/2/2017,0.26
3/3/2017,0.26
3/6/2017,0.26
3/7/2017,0.26
3/8/2017,0.27
3/9/2017,0.2
3/10/2017,0.2
3/13/2017,0.2
3/14/2017,0.26
3/15/2017,0.26
3/16/2017,0.26
3/17/2017,0.26
3/20/2017,0.2
3/21/2017,0.26
3/22/2017,0.26
3/23/2017,0.35
3/24/2017,0.28
3/27/2017,0.28
3/28/2017,0.3
3/29/2017,0.31
3/30/2017,0.29
3/31/2017,0.3
4/3/2017,0.27
4/4/2017,0.26
4/5/2017,0.23
4/6/2017,0.23
4/7/2017,0.23
4/10/2017,0.23
4/11/2017,0.23
4/12/2017,0.27
4/13/2017,0.27
4/14/2017,0.2
4/17/2017,0.25
4/18/2017,0.29
4/19/2017,0.28
4/20/2017,0.31
4/21/2017,0.32
4/24/2017,0.26
4/25/2017,0.25
4/26/2017,0.25
4/27/2017,0.25
4/28/2017,0.25
5/1/2017,0.25
5/2/2017,0.27
5/3/2017,0.26
5/4/2017,0.26
5/5/2017,0.26
5/8/2017,0.27
5/9/2017,0.27
5/10/2017,0.2
5/11/2017,0.27
5/12/2017,0.27
5/15/2017,0.27
5/16/2017,0.26
5/17/2017,0.26
5/18/2017,0.26
5/19/2017,0.27
5/22/2017,0.27
5/23/2017,0.27
5/24/2017,0.27
5/25/2017,0.28
5/26/2017,0.27
5/29/2017,0.28
5/30/2017,0.28
5/31/2017,0.28
6/1/2017,0.28
6/2/2017,0.27
6/5/2017,0.2
6/6/2017,0.27
6/7/2017,0.27
6/8/2017,0.27
6/9/2017,0.27
6/12/2017,0.25
6/13/2017,0.25
6/14/2017,0.25
6/15/2017,0.26
6/16/2017,0.25
6/19/2017,0.24
6/20/2017,0.24
6/21/2017,0.23
6/22/2017,0.2
6/23/2017,0.36
6/26/2017,0.33
6/27/2017,0.28
6/28/2017,0.28
6/29/2017,0.27
6/30/2017,0.25
7/3/2017,0.26
7/4/2017,0.25
7/5/2017,0.25
7/6/2017,0.25
7/7/2017,0.25
7/10/2017,0.25
7/11/2017,0.25
7/12/2017,0.24
7/13/2017,0.25
7/14/2017,0.25
7/17/2017,0.25
7/18/2017,0.25
7/19/2017,0.25
7/20/2017,0.25
7/21/2017,0.25
7/24/2017,0.25
7/25/2017,0.25
7/26/2017,0.25
7/27/2017,0.25
7/28/2017,0.22
7/31/2017,0.22
8/1/2017,0.25
8/2/2017,0.22
8/3/2017,0.22
8/4/2017,0.22
8/7/2017,0.21
8/8/2017,0.22
8/9/2017,0.21
8/10/2017,0.21
8/11/2017,0.22
8/14/2017,0.21
8/15/2017,0.22
8/16/2017,0.21
8/17/2017,0.23
8/18/2017,0.22
